City, State, Lat, Long 
Amri,Assam, None
Amri,Assam, None
Amri,Assam, 26.186085, 93.5812692
Baulagog,Assam, None
Beltola,Assam, None
Amguri,Assam, None
Ouguri,Assam, 26.6396025, 90.53287209999999
Pumakunchi,Assam, 26.01458, 92.360939
Amserli,Assam, 26.061377, 92.318573
Lembra,Assam, 26.022476, 92.31778
Rakhui Hidi,Assam, 26.020428, 92.352363
Keng Abat,Assam, 26.0052549, 92.37746399999999
Sinari Roman,Assam, 26.075157, 92.44026199999999
Amduba,Assam, 26.066172, 92.472893
Kumrai Khura,Assam, None
Hadau,Assam, None
Bogajamin,Assam, 26.015322, 92.38565799999999
Tharakunchi,Assam, None
Mugaguri,Assam, 25.977709, 92.365387
Silangkunchi,Assam, 25.998402, 92.304108
Uthankunchi,Assam, 26.013207, 92.33279399999999
Langerdang,Assam, 25.978224, 92.433922
Phutsari,Assam, 25.99284, 92.430908
Khaplang Kunchi,Assam, 25.983118, 92.42247
Roman Marjong,Assam, None
Umswai,Assam, 25.932285, 92.444183
Lang Arkhon(Umswai),Assam, None
Chidamakha,Assam, 25.922472, 92.40580790000001
Amsubra,Assam, None
Umlata-Ap,Assam, 25.965542, 92.42845899999999
Umswai Langdo(Lalung),Assam, 25.9276899, 92.4381329
Marjong Lalung,Assam, 25.94282, 92.411171
Marjong,Assam, 26.063149, 92.51570099999999
Rapadang,Assam, 25.929155, 92.425613
Pantalo,Assam, None
Mokaba,Assam, 25.935007, 92.41407799999999
Moroh,Assam, None
Denghar,Assam, None
Umseneng(Maolen),Assam, 25.696627, 92.495262
Khon Amkha,Assam, 25.934217, 92.344139
Mokoidharam,Assam, 25.99398, 92.49797799999999
Umjiri,Assam, 25.969034, 92.34099599999999
Um-Hi,Assam, None
Langhanjar(Phangeho),Assam, 25.96258, 92.34033199999999
Rongchek,Assam, None
Umpanai Dukan,Assam, 25.937366, 92.33247399999999
Birsingki,Assam, 25.953114, 92.351608
Umsamukh,Assam, 25.911469, 92.358482
Umbormon,Assam, None
Mubai,Assam, 25.940226, 92.34245299999999
Singkung,Assam, 25.928753, 92.34915199999999
Ullukuachi,Assam, 25.961737, 92.359909
Umkasi,Assam, 25.960354, 92.35681199999999
Maslai Kunchi,Assam, 25.9588639, 92.35400399999999
Harba-Sa,Assam, 25.982054, 92.373222
Rongchirim,Assam, 25.711504, 92.48529099999999
Rong Arak,Assam, 25.73394, 92.491196
Kramkunchi,Assam, 25.987936, 92.33938599999999
Morten-1,Assam, None
Morten-2(Nongtham),Assam, 25.940981, 92.379105
